INDEX,CN,EN,CNTR,JAP,KOR,TH
用于游戏登录之前的文本显示,简体中文,英文,中文繁体,日本語,韩文,泰文
OK,确认,OK,確認,OK,확인,ยืนยัน
CANCEL,取消,CANCEL,取消,キャンセル,취소,ยกเลิก
RETRY,重试,RETRY,重試,リトライ,재시도,อีกครั้ง
TipsTitle,提示,TIPS,提示,Tips,알림,แจ้งเตือน
AppVersion,游戏版本:,App:{sp},遊戲版本：,AppVer:,게임 버전:,App:
ResVersion,资源版本:,Res:{sp},資源版本：,ResVer:,소스 버전:,Res:
NO_NET_RETRY,"当前没有网络,是否重试？","No network, retry?",目前沒有網路，是否重試？,現在ネットワークに接続していません。リトライしますか？,네트워크에 연결되어 있지 않습니다. 재시도하시겠습니까?,ไม่พบเครือข่าย กรุณาลองใหม่?
NO_NET,当前没有网络！,No Network,目前沒有網路！,現在ネットワークに接続していません！,네트워크에 연결되어 있지 않습니다!,ไม่พบเครือข่าย
NET_CONNECT_FAIL,网络通讯失败！,Network Failed,網路連接失敗！,ネットワーク通信に失敗しました！,네트워크 연결이 끊어졌습니다!,การสื่อสารผ่านเครือข่ายล้มเหลว!
START_DOWNLOAD,下载中！,Downloading,下載中！,ダウンロード中！,다운로드 중!,กำลังดาวน์โหลด
DOWNLOAD_COMPLETE,下载完成！,Download Complete,下載完成！,ダウンロード完了！,다운로드가 완료되었습니다!,ดาวน์โหลดสำเร็จ
DOWNLOAD_CANCEL,下载取消！,Download Canceled,下載取消！,ダウンロード取消！,다운로드가 취소되었습니다!,ยกเลิกดาวน์โหลด
MD5_CHECK_START,md5校验开始,Md5 Check Started,md5驗證開始,md5チェック開始,md5 검증 시작,md5 เริ่มการตรวจสอบ
MD5_CHECK_END,md5校验完成,Md5 Check Completed,md5驗證完成,md5チェック完了,md5 검증 완료,md5 ตรวจสอบเสร็จสิ้น
CHECK_UPDATE,检测更新中,Checking for Updates,檢查更新中,アップデートチェック中,업데이트 확인 중,กำลังตรวจสอบการอัพเดท
AppVersionFromChannelIsTooLow,游戏版本过低，请去平台更新！,Your app version is out of date. Please update!,遊戲版本過舊，請前往平台更新！,ゲームバージョンが古すぎます。アプリを更新してください！,버전이 너무 낮습니다. 스토어로 가서 업데이트해주세요!,เวอร์ชั่นของเกมต่ำเกินไป โปรดไปอัพเดทที่แพลตฟอร์ม!
GLUpgrade_1,"发现新版本, 需要进行更新！！","New version found, please update.",發現新版本，需要進行更新！！,新しいバージョンが見つかりました。更新してください！！,새로운 버전으로의 업데이트가 필요합니다!!,มีเวอร์ชั่นใหม่ที่ต้องอัพเดท!!
GLUpgrade_2,"发现新版本, 当前不处于Wifi环境下, 是否进行更新！","New version found, confirm to update without Wi-Fi?",發現新版本，目前未連接Wifi，是否進行更新？,新しいバージョンが見つかりました。現在Wi-Fiに接続していませんが、更新しますか？,새로운 버전으로의 업데이트가 필요합니다. 지금은 WiFi 환경이 아닙니다. 그래도 업데이트하시겠습니까?,ค้นพบเวอร์ชั่นใหม่ โปรดเปลี่ยนเป็น WI-FI เพื่ออัพเดท!
GLUpgrade_3,内部错误（访问升级接口httpCode非200）！,Internal error(access upgrade interface httpCode not 200)!,內部錯誤（連接升級介面httpCode非200）！,内部エラー(アクセスアップグレードインターフェースhttpCodeは200ではありません)！,시스템 오류(httpCode not 200)!,ข้อผิดพลาดภายใน (การเข้าถึงอินเตอร์เฟซอัพเกรด httpCode ที่ไม่ใช่ 200）
GLUpgrade_4,内部错误（访问升级接口网络出错）！,Internal error(access upgrade interface net error)!,內部錯誤（連接升級介面網路錯誤）！,内部エラー(アクセスアップグレードインターフェースネットワークエラー)！,시스템 오류(네트워크 오류)!,ข้อผิดพลาดภายใน (การเข้าถึงอินเตอร์เฟซอัพเกรดอินเตอร์เน็ตเกิดข้อผิดพลาด）
GLUpgrade_5,内部错误（JSON格式转换出错）！,Internal error(JSON parse error)!,內部錯誤（JSON格式轉換錯誤）！,内部エラー(JSONフォーマット変換エラー)！,시스템 오류(JSON형식 변환 오류)!,ข้อผิดพลาดภายใน (การแปลงรูปแบบJSONผิดพลาด)
GLUpgrade_6,获取渠道打包信息失败！,Get bundle info of channel failed!,獲取通路封包資訊失敗！,ルートパッケージ情報の取得に失敗しました！,경로 정보 획득 실패!,การรับช่องชุดข้อมูลล้มเหลว
GLUpgrade_7,手机SD卡不可用(需要更新才检测)！,SDCard is not available!,手機SD卡不可用（需要更新才檢測）！,端末のSDカードが使用できません(更新時にチェック),디바이스의 SD카드를 사용할 수 없습니다(업데이트가 필요합니다)!,การ์ดSDมือถือไม่สามารถใช้งาน (ต้องอัพเดทจึงจะตรวจสอบได้)
GLUpgrade_M1,获取APK信息失败！,Failed to get local apk info!,獲取APK資訊失敗！,APK情報の取得に失敗しました！,APK 정보 획득 실패!,การรับข้อมูลAPKล้มเหลว
GLUpgrade_M2,无法获取服务器版本数据！,Cannot get version data from server!,無法獲取伺服器版本資料！,サーバーバージョンのデータを取得できません！,서버 버전 데이터를 불러올 수 없습니다!,ไม่สามารถรับข้อมูลเวอร์ชั่นเซิร์ฟเวอร์ได้
GLUpgrade_M3,获取服务器版本数据时发生异常！,Error occurred when getting version data from server!,獲取伺服器版本資料時發生異常！,サーバーバージョンのデータ取得時にエラーが発生しました！,서버 버전 데이터를 불러올 때 오류가 발생했습니다!,เกิดข้อผิดพลาดขณะรับข้อมูลเวอร์ชั่นจากเซิร์ฟเวอร์
GLUpgrade_M4,获取响应数据包异常！,Error occurred when getting data!,獲取響應資料封包異常！,応答パッケージ取得エラー,데이터를 불러올 때 오류가 발생했습니다!,เกิดข้อผิดพลาดขณะรับข้อมูล
